g_5285	g_7471	1	2	7108	4407	8	8	910	916	g_22487	g_26384	g_19171	g_28285	+	+
g_19171	g_26384	1	2	24489	9007	17	17	2041	2041	g_5285	g_4241	g_20844	g_7471	-	-
g_1746	g_2651	1	2	38783	40885	12	16	1674	2039	g_3826	g_20330	g_5878	g_7069	+	+
g_5878	g_7069	1	2	4363	5807	7	6	659	726	g_1746	g_2651	g_9968	g_27749	-	-
g_9968	g_27749	1	2	9754	4162	5	3	1573	1620	g_5878	g_7069	g_25953	g_19489	+	+
g_25953	g_19489	1	2	2883	4163	3	2	633	763	g_9968	g_27749	g_30860	g_14259	-	-
g_30860	g_14259	1	2	17471	8331	8	8	2233	2251	g_25953	g_19489	g_21507	g_10201	+	+
g_21507	g_10201	1	2	12549	9369	12	12	1413	1413	g_30860	g_14259	g_230	g_25930	+	+
g_230	g_25930	1	2	36942	8730	10	11	962	895	g_21507	g_10201	g_30307	g_17715	+	+
g_7679	g_17715	1	2	14414	14583	8	8	1945	1858	g_30307	g_25930	g_29640	g_19018	-	-
g_29640	g_19018	1	2	16252	14379	4	4	425	425	g_7679	g_17715	g_27741	g_2123	+	+
g_27741	g_2123	1	2	11628	8503	8	8	1372	1399	g_29640	g_19018	g_8690	g_26056	+	+
g_8690	g_26056	1	2	4643	28382	7	66	953	7575	g_27741	g_2123	g_29463	g_6280	+	+
g_9415	g_6280	1	2	42785	16230	18	18	1971	1899	g_3151	g_26056	g_20959	g_14655	+	+
g_20959	g_14655	1	2	23950	26747	8	10	1615	2027	g_9415	g_6280	g_26549	g_13109	-	-
g_64	g_13109	1	2	2256	3910	2	2	1447	1450	g_26549	g_14655	g_23124	g_19189	+	+
g_23124	g_19189	1	2	212	212	1	1	212	212	g_64	g_13109	g_24618	g_28188	-	-
g_24618	g_28188	1	2	10523	1405	2	2	325	325	g_23124	g_19189	g_7589	g_21824	-	-
g_22487	g_28285	1	2	9151	7952	9	9	1002	996	g_16582	g_7471	g_5285	g_18296	-	-
g_20844	g_18296	1	2	6828	5107	9	9	819	819	g_19171	g_28285	g_5308	g_12456	+	+
g_5308	g_12456	1	2	7655	12185	11	11	1783	1819	g_20844	g_18296	g_5393	g_18040	+	+
g_5393	g_18040	1	2	84734	41183	42	42	4377	4293	g_5308	g_12456	g_3608	g_13456	-	-
g_26783	g_13456	1	2	806	1412	1	1	806	1412	g_3608	g_18040	g_28679	g_11872	-	-
g_28679	g_11872	1	2	7902	9899	7	7	590	590	g_26783	g_13456	g_26051	g_25112	-	-
g_26051	g_25112	1	2	3206	2241	5	5	574	565	g_28679	g_11872	g_4840	g_17922	+	+
g_4840	g_17922	1	2	1275	1933	2	2	229	238	g_26051	g_25112	g_25248	g_22447	+	+
g_25248	g_22447	1	2	13865	9920	14	14	1129	1129	g_4840	g_17922	g_34522	g_16633	+	+
g_10432	g_4313	1	2	68786	24608	8	7	1660	1775	g_34522	g_16633	g_12050	g_12587	-	-
g_12050	g_18699	1	2	80820	35331	14	15	2125	2274	g_10432	g_12587	g_24814	g_4655	-	-
g_24814	g_4655	1	2	1202	1202	1	1	1202	1202	g_12050	g_18699	g_13228	g_819	-	-
